id,case_number,date,block,primary_type,description,location_description,arrest,domestic,beat,district,ward,community_area,latitude,longitude
12595951,JF117211,2022-01-18 20:27:00,075XX S PARNELL AVE,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,621,6.0,6.0,69.0,41.757196252,-87.638420668
12595944,JF117184,2022-01-18 20:10:00,002XX S STATE ST,ASSAULT,SIMPLE,CTA TRAIN,True,False,113,1.0,42.0,32.0,41.878638996,-87.627691486
12596034,JF117210,2022-01-18 20:00:00,084XX S COLFAX AVE,ASSAULT,SIMPLE,RESIDENCE,False,True,423,4.0,7.0,46.0,41.742125685,-87.561224349
12595942,JF117196,2022-01-18 20:00:00,021XX S WASHTENAW AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1023,10.0,12.0,30.0,41.852539739,-87.693012575
12595971,JF117183,2022-01-18 19:55:00,043XX S MOZART ST,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,False,True,922,9.0,15.0,58.0,41.814664166,-87.69562767
12595916,JF117161,2022-01-18 19:45:00,054XX W WASHINGTON BLVD,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,1522,15.0,29.0,25.0,41.882301757,-87.760677308
12595901,JF117168,2022-01-18 19:39:00,080XX S PRINCETON AVE,ASSAULT,SIMPLE,APARTMENT,False,True,623,6.0,17.0,44.0,41.74845393,-87.631816116
12596564,JF117224,2022-01-18 19:30:00,011XX N SPAULDING AVE,BATTERY,AGGRAVATED - KNIFE / CUTTING INSTRUMENT,SIDEWALK,False,False,1121,11.0,26.0,23.0,41.901988105,-87.709419836
12596686,JF117128,2022-01-18 19:20:00,059XX S INDIANA AVE,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,APARTMENT,False,True,232,2.0,20.0,40.0,41.786651593,-87.620637942
12595941,JF117148,2022-01-18 19:05:00,064XX S ARTESIAN AVE,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,825,8.0,16.0,66.0,41.776817439,-87.684795188
12595894,JF117179,2022-01-18 19:00:00,051XX S INDIANA AVE,ASSAULT,SIMPLE,APARTMENT,False,True,231,2.0,3.0,40.0,41.801036644,-87.621003025
12595918,JF117113,2022-01-18 18:50:00,071XX S SEELEY AVE,ASSAULT,AGGRAVATED - HANDGUN,VEHICLE NON-COMMERCIAL,False,True,735,7.0,17.0,67.0,41.764119941,-87.6747294
12595926,JF117115,2022-01-18 18:42:00,002XX W 72ND ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,731,7.0,6.0,69.0,41.763599764,-87.630474553
12596278,JF117106,2022-01-18 18:40:00,004XX S RACINE AVE,ASSAULT,AGGRAVATED - HANDGUN,CTA PLATFORM,False,False,1231,12.0,28.0,28.0,41.875508384,-87.656975687
12595902,JF117127,2022-01-18 18:30:00,076XX S GREEN ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,False,True,621,6.0,17.0,71.0,41.755462553,-87.645377167
12272828,JE116626,2021-01-18 21:25:00,081XX S PAULINA ST,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,True,True,614,6.0,21.0,71.0,41.746191769,-87.665758868
12272847,JE116628,2021-01-18 21:20:00,135XX S BRANDON AVE,ASSAULT,SIMPLE,OTHER (SPECIFY),False,False,433,4.0,10.0,55.0,41.649348818,-87.545930166
12272843,JE116650,2021-01-18 21:20:00,106XX S TORRENCE AVE,ASSAULT,SIMPLE,CTA BUS,False,False,434,4.0,10.0,51.0,41.701830902,-87.55958634
