latitude,longitude,primary_type,dist_to_stadium_km
41.894876922,-87.762537358,BATTERY,12.605755825289632
41.760902246,-87.559602826,ASSAULT,12.227695963074787
41.755974849,-87.555333653,BATTERY,12.870417439550444
41.968810413,-87.675110943,BATTERY,12.791623176536259
41.88317128,-87.741650842,ASSAULT,10.602908206242601
41.781365201,-87.705629817,BATTERY,11.631689222916819
41.873996228,-87.625987467,BATTERY,1.5109250416342668
41.8032982,-87.653195042,ASSAULT,7.223931873065563
41.756724274,-87.607360845,BATTERY,11.764975281322629
42.01698787,-87.680469171,BATTERY,17.991043124932382
41.813186256,-87.689457631,BATTERY,8.133640841502253
41.92741817,-87.668223759,BATTERY,8.403360413469706
41.796134668,-87.706076154,BATTERY,10.438747066621646
41.716985994,-87.653457545,ASSAULT,16.44304316604698
41.802132606,-87.613677631,ASSAULT,6.694993502806996
41.854482199,-87.712418161,BATTERY,7.974667229981343
41.673649301,-87.638159734,ASSAULT,21.05236492776766
41.703958606,-87.668927802,ASSAULT,18.131488807102695
41.823672129,-87.667790664,BATTERY,6.029980085205579
42.018496028,-87.675942011,ASSAULT,18.04617293085819
41.858663272,-87.695675273,BATTERY,6.552816058127157
41.902999018,-87.688739745,ASSAULT,7.486546989294842
41.689927125,-87.612073842,ASSAULT,19.1708277953734
41.866331725,-87.666379171,ASSAULT,4.138281802998251
41.802372335,-87.596088599,BATTERY,6.878985202302494
41.845409256,-87.64037729,BATTERY,2.7153565779272624
41.784654487,-87.689068516,HOMICIDE,10.51199988004693
41.767245969,-87.57632989,BATTERY,11.086394262376619
41.673483652,-87.628534878,BATTERY,21.018350111170214
41.909427524,-87.761562781,ASSAULT,13.08701163764016
41.97002338,-87.656241512,ASSAULT,12.417084738736968
41.828762287,-87.614436164,BATTERY,3.7339353366931487
41.788774721,-87.737569383,BATTERY,12.928504402919472
41.87799992,-87.643098749,BATTERY,2.7974474022185407
41.747485289,-87.551482154,BATTERY,13.864093185440183
41.904370109,-87.631460067,ASSAULT,4.834935423782547
41.871530533,-87.744926805,BATTERY,10.66750876587111
41.97043926,-87.650011483,BATTERY,12.336390425065485
41.89200307,-87.628076963,ASSAULT,3.434520921967444
41.698575002,-87.538907284,BATTERY,19.314357817662618
41.764708006,-87.563193271,BATTERY,11.722802060779992
41.752154317,-87.665143707,BATTERY,12.889007537247807
41.666968538,-87.635724543,ASSAULT,21.77710557405224
41.77152474,-87.582247639,BATTERY,10.489776374993546
41.877904298,-87.731469321,ASSAULT,9.660278205804806
41.936335635,-87.650710119,BATTERY,8.700314508739167
41.756521211,-87.561473304,BATTERY,12.621303129557718
41.964863437,-87.652387549,BATTERY,11.78064590388993
41.673483652,-87.628534878,BATTERY,21.018350111170214
41.815950325,-87.630118888,BATTERY,5.272374418938727
41.706653929,-87.612531464,BATTERY,17.310504228425874
41.858388522,-87.715192247,ASSAULT,8.168227218876211
41.795288637,-87.673123191,BATTERY,8.796464124055385
41.816798304,-87.689560854,BATTERY,7.87601726573639
41.784204848,-87.688655024,BATTERY,10.533682820856566
