game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,location,result,total,bears_win
2003_09_SD_CHI,2003,REG,9,2003-11-02,Sunday,13:00,SD,7,CHI,20,Home,13,27,1.0
2003_10_CHI_DET,2003,REG,10,2003-11-09,Sunday,13:00,CHI,10,DET,12,Home,2,22,0.0
2003_11_STL_CHI,2003,REG,11,2003-11-16,Sunday,13:00,STL,23,CHI,21,Home,-2,44,0.0
2003_12_CHI_DEN,2003,REG,12,2003-11-23,Sunday,16:05,CHI,19,DEN,10,Home,-9,29,1.0
2003_13_ARI_CHI,2003,REG,13,2003-11-30,Sunday,13:00,ARI,3,CHI,28,Home,25,31,1.0
2003_14_CHI_GB,2003,REG,14,2003-12-07,Sunday,13:00,CHI,21,GB,34,Home,13,55,0.0
2003_15_MIN_CHI,2003,REG,15,2003-12-14,Sunday,13:00,MIN,10,CHI,13,Home,3,23,1.0
2003_16_WAS_CHI,2003,REG,16,2003-12-21,Sunday,13:00,WAS,24,CHI,27,Home,3,51,1.0
2003_17_CHI_KC,2003,REG,17,2003-12-28,Sunday,13:00,CHI,3,KC,31,Home,28,34,0.0
2004_01_DET_CHI,2004,REG,1,2004-09-12,Sunday,13:00,DET,20,CHI,16,Home,-4,36,0.0
2004_02_CHI_GB,2004,REG,2,2004-09-19,Sunday,13:00,CHI,21,GB,10,Home,-11,31,1.0
2004_03_CHI_MIN,2004,REG,3,2004-09-26,Sunday,13:00,CHI,22,MIN,27,Home,5,49,0.0
2004_04_PHI_CHI,2004,REG,4,2004-10-03,Sunday,13:00,PHI,19,CHI,9,Home,-10,28,0.0
2004_06_WAS_CHI,2004,REG,6,2004-10-17,Sunday,13:00,WAS,13,CHI,10,Home,-3,23,0.0
2004_07_CHI_TB,2004,REG,7,2004-10-24,Sunday,13:00,CHI,7,TB,19,Home,12,26,0.0
2004_08_SF_CHI,2004,REG,8,2004-10-31,Sunday,20:30,SF,13,CHI,23,Home,10,36,1.0
2004_09_CHI_NYG,2004,REG,9,2004-11-07,Sunday,16:05,CHI,28,NYG,21,Home,-7,49,1.0
2004_10_CHI_TEN,2004,REG,10,2004-11-14,Sunday,13:00,CHI,19,TEN,17,Home,-2,36,1.0
2004_11_IND_CHI,2004,REG,11,2004-11-21,Sunday,13:00,IND,41,CHI,10,Home,-31,51,0.0
2004_12_CHI_DAL,2004,REG,12,2004-11-25,Thursday,16:15,CHI,7,DAL,21,Home,14,28,0.0
2004_13_MIN_CHI,2004,REG,13,2004-12-05,Sunday,13:00,MIN,14,CHI,24,Home,10,38,1.0
2004_14_CHI_JAX,2004,REG,14,2004-12-12,Sunday,13:00,CHI,3,JAX,22,Home,19,25,0.0
2004_15_HOU_CHI,2004,REG,15,2004-12-19,Sunday,13:00,HOU,24,CHI,5,Home,-19,29,0.0
2004_16_CHI_DET,2004,REG,16,2004-12-26,Sunday,13:00,CHI,13,DET,19,Home,6,32,0.0
2004_17_GB_CHI,2004,REG,17,2005-01-02,Sunday,13:00,GB,31,CHI,14,Home,-17,45,0.0
2005_01_CHI_WAS,2005,REG,1,2005-09-11,Sunday,13:00,CHI,7,WAS,9,Home,2,16,0.0
2005_02_DET_CHI,2005,REG,2,2005-09-18,Sunday,13:00,DET,6,CHI,38,Home,32,44,1.0
2005_03_CIN_CHI,2005,REG,3,2005-09-25,Sunday,13:00,CIN,24,CHI,7,Home,-17,31,0.0
2005_05_CHI_CLE,2005,REG,5,2005-10-09,Sunday,13:00,CHI,10,CLE,20,Home,10,30,0.0
2005_06_MIN_CHI,2005,REG,6,2005-10-16,Sunday,13:00,MIN,3,CHI,28,Home,25,31,1.0
2005_07_BAL_CHI,2005,REG,7,2005-10-23,Sunday,16:15,BAL,6,CHI,10,Home,4,16,1.0
