game_id,season,game_type,week,gameday,weekday,gametime,away_team,away_score,home_team,home_score,result,total,bears_win
2015_04_OAK_CHI,2015,REG,4,2015-10-04,Sunday,13:00,OAK,20,CHI,22,2,42,1
2015_05_CHI_KC,2015,REG,5,2015-10-11,Sunday,13:00,CHI,18,KC,17,-1,35,1
2015_06_CHI_DET,2015,REG,6,2015-10-18,Sunday,13:00,CHI,34,DET,37,3,71,0
2015_08_MIN_CHI,2015,REG,8,2015-11-01,Sunday,13:00,MIN,23,CHI,20,-3,43,0
2015_09_CHI_SD,2015,REG,9,2015-11-09,Monday,20:30,CHI,22,SD,19,-3,41,1
2015_10_CHI_STL,2015,REG,10,2015-11-15,Sunday,13:00,CHI,37,STL,13,-24,50,1
2015_11_DEN_CHI,2015,REG,11,2015-11-22,Sunday,13:00,DEN,17,CHI,15,-2,32,0
2015_12_CHI_GB,2015,REG,12,2015-11-26,Thursday,20:30,CHI,17,GB,13,-4,30,1
2015_13_SF_CHI,2015,REG,13,2015-12-06,Sunday,13:00,SF,26,CHI,20,-6,46,0
2015_14_WAS_CHI,2015,REG,14,2015-12-13,Sunday,13:00,WAS,24,CHI,21,-3,45,0
2015_15_CHI_MIN,2015,REG,15,2015-12-20,Sunday,13:00,CHI,17,MIN,38,21,55,0
2015_16_CHI_TB,2015,REG,16,2015-12-27,Sunday,13:00,CHI,26,TB,21,-5,47,1
2015_17_DET_CHI,2015,REG,17,2016-01-03,Sunday,13:00,DET,24,CHI,20,-4,44,0
2016_01_CHI_HOU,2016,REG,1,2016-09-11,Sunday,13:00,CHI,14,HOU,23,9,37,0
2016_02_PHI_CHI,2016,REG,2,2016-09-19,Monday,20:30,PHI,29,CHI,14,-15,43,0
2016_03_CHI_DAL,2016,REG,3,2016-09-25,Sunday,20:30,CHI,17,DAL,31,14,48,0
2016_04_DET_CHI,2016,REG,4,2016-10-02,Sunday,13:00,DET,14,CHI,17,3,31,1
2016_05_CHI_IND,2016,REG,5,2016-10-09,Sunday,13:00,CHI,23,IND,29,6,52,0
2016_06_JAX_CHI,2016,REG,6,2016-10-16,Sunday,13:00,JAX,17,CHI,16,-1,33,0
2016_07_CHI_GB,2016,REG,7,2016-10-20,Thursday,20:25,CHI,10,GB,26,16,36,0
2016_08_MIN_CHI,2016,REG,8,2016-10-31,Monday,20:30,MIN,10,CHI,20,10,30,1
2016_10_CHI_TB,2016,REG,10,2016-11-13,Sunday,13:00,CHI,10,TB,36,26,46,0
2016_11_CHI_NYG,2016,REG,11,2016-11-20,Sunday,13:00,CHI,16,NYG,22,6,38,0
2016_12_TEN_CHI,2016,REG,12,2016-11-27,Sunday,13:00,TEN,27,CHI,21,-6,48,0
2016_13_SF_CHI,2016,REG,13,2016-12-04,Sunday,13:00,SF,6,CHI,26,20,32,1
2016_14_CHI_DET,2016,REG,14,2016-12-11,Sunday,13:00,CHI,17,DET,20,3,37,0
2016_15_GB_CHI,2016,REG,15,2016-12-18,Sunday,13:00,GB,30,CHI,27,-3,57,0
2016_16_WAS_CHI,2016,REG,16,2016-12-24,Saturday,13:00,WAS,41,CHI,21,-20,62,0
2016_17_CHI_MIN,2016,REG,17,2017-01-01,Sunday,13:00,CHI,10,MIN,38,28,48,0
2017_01_ATL_CHI,2017,REG,1,2017-09-10,Sunday,13:00,ATL,23,CHI,17,-6,40,0
2017_02_CHI_TB,2017,REG,2,2017-09-17,Sunday,13:00,CHI,7,TB,29,22,36,0
2017_03_PIT_CHI,2017,REG,3,2017-09-24,Sunday,13:00,PIT,17,CHI,23,6,40,1
2017_04_CHI_GB,2017,REG,4,2017-09-28,Thursday,20:25,CHI,14,GB,35,21,49,0
2017_05_MIN_CHI,2017,REG,5,2017-10-09,Monday,20:30,MIN,20,CHI,17,-3,37,0
2017_06_CHI_BAL,2017,REG,6,2017-10-15,Sunday,13:00,CHI,27,BAL,24,-3,51,1
2017_07_CAR_CHI,2017,REG,7,2017-10-22,Sunday,13:00,CAR,3,CHI,17,14,20,1
2017_08_CHI_NO,2017,REG,8,2017-10-29,Sunday,13:00,CHI,12,NO,20,8,32,0
2017_10_GB_CHI,2017,REG,10,2017-11-12,Sunday,13:00,GB,23,CHI,16,-7,39,0
2017_11_DET_CHI,2017,REG,11,2017-11-19,Sunday,13:00,DET,27,CHI,24,-3,51,0
2017_12_CHI_PHI,2017,REG,12,2017-11-26,Sunday,13:00,CHI,3,PHI,31,28,34,0
2017_13_SF_CHI,2017,REG,13,2017-12-03,Sunday,13:00,SF,15,CHI,14,-1,29,0
2017_14_CHI_CIN,2017,REG,14,2017-12-10,Sunday,13:00,CHI,33,CIN,7,-26,40,1
